sample,point_load_u1_mean,point_load_u2_mean,ranslation_u1_mean,shear_u1_mean,shear_u2_mean,translation_u1_mean,translation_u2_mean,uniaxial_u1_mean,uniaxial_u2_mean,point_load_u1_std,point_load_u2_std,ranslation_u1_std,shear_u1_std,shear_u2_std,translation_u1_std,translation_u2_std,uniaxial_u1_std,uniaxial_u2_std,point_load_u1_p20,point_load_u2_p20,ranslation_u1_p20,shear_u1_p20,shear_u2_p20,translation_u1_p20,translation_u2_p20,uniaxial_u1_p20,uniaxial_u2_p20
095,-30.48,-32.96,,-0.05,0.67,-1.75,0.0,-1.32,-2.96,13.36,11.17,,6.64,5.28,0.85,0.02,3.45,5.89,72.97,83.64,,0.66,0.29,0.0,0.0,0.51,1.75
096,-33.52,-34.49,,-0.45,0.34,-1.83,0.0,-0.95,-4.15,14.84,13.42,,3.65,6.66,0.82,0.03,2.91,7.83,80.46,87.64,,0.46,0.15,0.0,0.0,0.23,4.25
097,-35.79,-36.63,,-0.24,0.28,-1.53,0.0,-0.69,-4.13,13.85,12.91,,4.22,2.74,0.84,0.03,2.93,7.48,88.73,89.65,,0.93,0.08,0.0,0.0,0.31,3.78
098,-40.53,-39.94,,-0.2,0.61,-1.44,0.0,-0.81,-2.83,9.81,8.52,,3.41,2.83,0.66,0.02,2.91,5.98,87.14,88.02,,0.51,0.22,0.0,0.0,0.37,1.83
099,-35.31,-34.98,,-0.13,0.66,-1.51,0.0,-0.65,-2.93,10.31,9.16,,2.97,2.57,0.76,0.02,2.32,6.6,82.91,83.2,,0.29,0.0,0.0,0.0,0.07,2.56
100,-32.46,-33.32,,0.54,0.11,-1.29,0.0,-0.57,-3.84,9.99,10.43,,3.37,4.63,0.7,0.03,4.47,9.39,79.55,81.15,,0.51,0.29,0.0,0.0,0.29,3.07
101,-37.09,-37.42,,-0.07,-1.17,-1.4,0.0,-0.59,-5.33,10.71,12.64,,8.24,10.46,0.87,0.03,2.7,8.27,87.07,83.86,,0.66,0.66,0.0,0.0,0.22,5.04
102,-26.98,-28.26,,-0.47,0.47,-1.5,0.0,-0.56,-4.32,11.58,10.74,,6.59,4.49,0.78,0.03,2.34,6.99,67.93,70.71,,0.58,0.37,0.0,0.0,0.15,2.92
103,-46.63,-43.84,,-0.82,0.07,-1.83,0.0,-0.6,-2.87,10.96,9.03,,4.97,5.94,0.95,0.03,2.71,6.25,88.9,88.82,,0.58,0.37,0.0,0.0,0.07,2.78
104,-37.72,-36.74,,-0.15,0.04,-1.64,0.0,-1.77,-4.07,41.27,10.53,,4.38,5.62,0.83,0.03,8.04,8.1,87.87,89.04,,0.73,0.15,0.0,0.0,2.26,3.94
105,-40.67,-40.79,,-0.04,-0.07,-1.18,0.0,-0.6,-4.29,7.39,8.57,,5.26,4.35,0.66,0.03,5.01,7.69,99.85,98.38,,0.69,0.08,0.0,0.0,1.16,3.94
106,-34.24,-35.09,,-0.04,0.28,-1.67,0.0,-0.78,-3.93,32.19,25.02,,3.52,6.26,0.8,0.03,2.71,7.19,81.23,83.71,,0.22,0.37,0.0,0.0,0.37,3.51
107,-45.58,-44.36,,-0.38,-0.04,-1.45,0.0,-0.27,-3.76,16.11,13.53,,3.24,4.58,0.82,0.03,2.6,8.77,91.6,91.38,,0.51,0.37,0.0,0.0,0.07,4.38
108,-30.39,-31.17,,-0.05,0.47,-1.39,0.0,-0.99,-4.04,10.7,9.55,,6.96,3.66,0.67,0.03,3.35,7.39,74.43,79.11,,0.51,0.07,0.0,0.0,0.58,3.21
109,-36.939,-36.102,,0.099,0.21000000000000002,-1.376,0.0,-0.656,-4.174,12.633,14.521,,3.9019999999999997,3.9539999999999997,0.72,0.028999999999999998,3.593,8.347,86.44399999999999,84.71700000000001,,0.33899999999999997,0.349,0.0,0.0,0.491,4.099
